Points:0,Points:1,Points:2,U:0,U:1,U:2
4.2750001,1.5803104,0.025,0.66069502,0.34015599,-8.6388204e-18
0.85000003,0.69985116,0.025,0.56840098,-0.121382,-7.6565098e-21
9.4970398,5.875,0.025,0.123354,-0.0953824,-1.1588300000000001e-19
9.8723173,1.525,0.025,0.032574601,-0.449065,-8.8726197e-18
6.1501832,0.13150048,0.025,1.16682,-0.58010501,-2.6373101e-18
7.6206949,0.17494448,0.025,-1.02369,-0.0449837,-1.4727099999999998e-18
2.054875,4.5543626,0.025,-0.17736501,-0.0087593896,1.86069e-17
8.6310148,5.075,0.025,0.73424602,0.25751001,-2.72687e-18
5.942265,2.8000001,0.025,1.00877,0.181361,-2.0357300000000002e-17
0.95000003,5.0877133,0.025,1.43305,0.51367199,-1.2446800000000001e-18
6.4250001,0.48556625,0.025,-0.085822597,-0.063562803,1.4013400000000002e-16
8.0537526,5.7251476,0.025,0.436454,0.247568,1.4549601e-17
2.3402949,4.5517656,0.025,-0.175962,-0.0124159,-2.24525e-18
1.175,5.3908221,0.025,0.64485699,0.56109399,6.82684e-19
5.8984999,4.0743326,0.025,0.44490701,1.24359,-3.7307e-18
4.4749999,2.5340489,0.025,0.62813097,0.57720399,-4.29342e-19
4.4248347,2.7632974,0.025,0.61776102,0.59246403,-6.70488e-18
1.5792332,3.0097377,0.025,0.22040799,-1.2119499,-2.2734501e-18
6.5484835,5.0000023,0.025,1.19072,0.37910199,5.199409999999999e-18
4.3224886,3.8226846,0.025,0.538158,0.64335501,7.3134101e-20
3.0147633,3.6747874,0.025,0.0020987999,-0.124664,2.01384e-16
4.1999999,5.5207259,0.025,-0.095160499,0.467269,2.81123e-18
8.3134763,5.675007,0.025,0.479911,0.117845,6.045990099999999e-18
4.05,4.5288674,0.025,0.317202,0.42648399,-1.10037e-17
3.7566414,2.1481096,0.025,0.79549199,0.496921,-2.2992500000000003e-18
9.193931,4.4000001,0.025,0.177614,-0.466454,-8.720219699999999e-19
3.1242514,4.1192361,0.025,-0.068843901,0.133472,6.6759299e-18
8.5299784,2.1,0.025,1.22993,-0.66158301,-1.59839e-20
1.8993515,5.862124,0.025,0.26980999,0.179601,7.9591302e-18
5.125,2.2742414,0.025,0.58052802,0.70288599,5.5978899e-21
8.0750001,3.0144338,0.025,0.44287699,-0.53687102,3.90368e-18
2.125,3.2153956,0.025,-0.52103001,-0.0112699,4.936800000000001e-19
5.0999999,0.52664608,0.025,0.43314001,-0.134719,-1.72486e-17
1.2999837,4.827915,0.025,1.59794,0.71545202,2.09578e-18
9.1073284,2.9,0.025,0.188346,0.14187101,-3.0345599e-20
7.717617,5.2750001,0.025,0.77782899,0.080044203,-5.4512298e-18
5.8499999,0.29792743,0.025,1.10146,-0.18138701,4.015770000000001e-18
8.4868132,4.8249999,0.025,0.652174,0.31147599,7.14299e-18
0.175,1.3493703,0.025,2.01354,-0.00167494,-1.6533901e-19
5.675,2.360844,0.025,0.95241499,0.816724,-3.9093999e-18
9.4826059,1.7,0.025,0.28201601,-0.439486,6.140059899999999e-18
1.725,1.9267205,0.025,1.39921,-0.163077,-2.01866e-18
2.55,4.8567732,0.025,0.68051499,0.110698,-4.4944598e-18
7.4491355,1.8839683,0.025,0.53904599,-0.029849401,3.0656501000000004e-18
2.2,2.9988894,0.025,-0.059645198,0.101111,-9.2757501e-19
8.963,5.800016,0.025,0.60402697,-0.0040404601,9.6934798e-18
0.57500003,2.0421906,0.025,1.06005,0.113252,-1.4621999999999998e-18
8.833087,1.375,0.025,0.00761618,-0.57218999,-1.1602399999999999e-20
5.4841542,0.9770922,0.025,0.025089299,-0.0068488899,-6.9495897e-17
8.3499492,2.5958843,0.025,1.0071599,-0.54791701,1.9043801e-18
1.125,1.1472976,0.025,1.85186,-0.324947,1.62616e-20
4.0643021,2.744979,0.025,0.64774501,0.58600599,1.1017800000000001e-18
3.7183224,2.1776216,0.025,0.80047703,0.50587797,-1.6674800000000001e-18
8.0509685,3.490866,0.025,-0.31382599,-0.28467101,8.798779699999999e-18
4.6750003,4.9000745,0.025,0.214817,0.61296499,-1.19309e-17
5.9346474,4.253039,0.025,0.69560999,1.11695,-1.9385801e-18
7.9226357,1.8590824,0.025,0.57227403,-0.369259,-7.45216e-20
3.8250153,3.5329419,0.025,0.51789701,0.49895099,5.6394101e-18
7.3319764,1.125,0.025,-0.44387501,0.124741,1.5600600999999998e-18
8.6206519,3.4041909,0.025,-0.595496,0.093582898,-5.7041200000000006e-18
3.5497792,3.9041806,0.025,0.120624,0.074614502,-9.8707597e-19
0.55000002,3.2113248,0.025,-0.12899099,0.14684001,7.257030299999999e-19
5.4000001,5.6939311,0.025,0.90161401,0.137087,-6.760389999999999e-18
8.6310148,0.52500002,0.025,-0.70102799,-0.319157,6.0694998e-20
9.0640271,0.57500001,0.025,-0.401281,-0.26732299,2.9166799000000003e-17
8.111399,0.92500002,0.025,-0.65697801,-0.315377,1.38762e-18
2.375,5.5062922,0.025,1.16509,0.44303399,-1.18384e-21
2.775,1.3205027,0.025,1.23827,0.078585602,-1.4587300000000001e-21
5.8845259,4.75,0.025,0.74727303,0.69699597,-2.79806e-18
7.6639528,4.55,0.025,0.50274402,-0.28528699,-1.5052399999999998e-18
3.8000001,1.2194664,0.025,0.78761101,0.18684401,-2.5585699e-18
8.0106912,5.7005682,0.025,0.494196,0.28626001,1.32909e-17
7.8151405,5.5731785,0.025,0.756486,0.30473799,1.02932e-17
1.24986,4.4815917,0.025,1.2148,0.457389,-2.94298e-18
7.2758951,3.4468264,0.025,-0.042087201,-0.171581,1.7728899e-17
8.0499998,2.76906,0.025,0.86794102,-0.58740401,4.7345998e-18
