Points:0,Points:1,Points:2,U:0,U:1,U:2
4.2498093,3.1736849,0.025,0.58939803,0.60758501,-9.8594904e-19
5.25,4.914508,0.025,0.41010201,0.55399501,1.8369299999999998e-20
7.5340489,4.7750001,0.025,0.72490501,-0.227355,-5.8282e-18
0.62500002,3.4855662,0.025,0.182734,-0.064729698,5.5950201e-22
1.475,1.1472976,0.025,1.7424099,-0.361184,-8.478990099999999e-19
7.8514765,3.875,0.025,-0.19356,-0.218748,2.00598e-18
4.375,1.2339002,0.025,0.60301298,0.22755601,-1.3388e-17
4.9750185,1.0607594,0.025,0.351596,0.132091,-1.5729801e-17
5.0,3.8752777,0.025,0.465857,0.69751602,2.3286601e-22
7.7648638,1.6751592,0.025,0.31206301,-0.26494399,-1.89344e-18
7.4000001,2.7113249,0.025,1.2633899,-0.28954399,-2.9737399e-18
4.625,0.56994737,0.025,0.50264502,0.027392801,8.2993703e-18
1.5,5.5495935,0.025,0.44431001,0.55341899,1.07294e-20
5.8000001,0.44226498,0.025,-0.15666001,-0.0205756,-6.0191802e-17
2.775,1.3493702,0.025,1.24865,0.0941623,-3.641010000000001e-18
5.325,5.8527024,0.025,1.05212,0.061301298,-9.5489697e-18
8.8763886,4.0,0.025,-0.30592901,-0.038122401,-1.09048e-19
4.4250002,3.0814216,0.025,0.59086001,0.61099499,6.2791400000000005e-18
0.37499997,0.88749003,0.025,0.87294501,0.064198002,-2.7773800999999997e-20
4.7750001,0.91635752,0.025,0.448194,0.098393299,1.09162e-17
6.0617533,4.5249969,0.025,0.90289199,0.94570702,1.0260600000000001e-18
1.325,1.4937078,0.025,1.92058,-0.265632,1.70249e-18
3.85,3.2298294,0.025,0.56504899,0.562635,-2.32277e-21
9.5692088,5.25,0.025,0.52825701,-0.607701,-9.1878896e-18
1.575,1.9555881,0.025,1.28417,-0.224029,-2.2347401e-18
2.3249968,0.28127643,0.025,0.29625601,-0.17158701,-2.6165499e-18
7.9398265,0.20106996,0.025,-0.92071003,-0.0813962,-2.1631e-19
